id,gen,matron_id,sire_id,birthdate,genes,name
57000,4,21619,32002,2017-12-04 07:38:50,aadm 5756 7a27 g9ag 6664 7855 deeb 6b72 6777 6646 dd9a fcec,
57001,13,3926,6354,2017-12-04 07:38:50,9a9a 655j 4742 famp 1666 5575 997d b12h 5777 7338 99fa dcdc,
57002,13,9420,12578,2017-12-04 07:38:50,9aam 6577 aa72 afmp 4416 7577 f7df 277b 775k 86i8 fafa cedf,
57003,13,23292,33356,2017-12-04 07:38:50,9c99 7785 2f72 gaga 1646 5757 cffe 44b7 8876 8736 ggaf eefd,
57004,20,26968,37434,2017-12-04 07:38:50,9aad 5576 742a g9am 6416 3555 edee 4766 68k6 3488 afam decd,
57005,4,16445,15857,2017-12-04 07:38:50,aaa9 7888 a7a2 agmf 4644 5575 79e9 272b 7767 3386 9aff ecdf,
57006,1,2615,15707,2017-12-04 07:38:50,dd9d 8886 4a42 9fgg 1661 5785 799d 1227 8677 8844 dd9f fced,
57007,17,22076,37606,2017-12-04 07:38:50,ccad 6577 247a gbaf 1164 5585 ccff bbbb 6677 7776 ag9a dfeo,
57008,9,50031,50181,2017-12-04 07:38:50,99da 7685 4afa 9fff 4464 5775 dce9 22b7 86k8 846i 99aa ffdc,
57009,18,45629,16738,2017-12-04 07:38:50,9aac 7768 7474 bg9f 4144 5875 ffde 427h 7786 7438 gfad cacc,
57010,10,47215,53998,2017-12-04 07:38:50,adc9 5885 aa2a f19g 1411 7837 b7ef 44h7 7676 6662 gaaa adcc,
57011,14,18605,38155,2017-12-04 07:38:50,9amc 767j 4ff4 fggg 4661 7575 7eee 4741 8877 3437 fgap ffcc,
57012,14,47219,47174,2017-12-04 07:39:17,ccaa 766j ffa7 ffb9 6666 7755 9ddc 424b 8887 4443 afgf cfdc,
57013,6,49852,49917,2017-12-04 07:39:17,a99a 5566 2f22 99mb 1116 7878 befd b247 678k 4648 faad fbfd,
57014,13,46028,43804,2017-12-04 07:39:17,c9ac 8k68 a4a4 aaga 6614 7577 999d 11bb 678k 73i8 dggg cfde,
57015,3,45766,50668,2017-12-04 07:39:17,ca9c 8566 74f7 bf9f 4466 7757 ecf9 bbb2 787k 6378 dgda edfa,
57016,15,48939,48105,2017-12-04 07:39:17,dda9 7667 af42 bbfb 4144 5378 bdec 4762 785k 64i6 g9mg ecce,
57017,12,21227,43097,2017-12-04 07:39:17,ddcd 6658 fa4f 9gfg 6666 5585 eeef 7b66 7666 6434 99d9 ffda,
57018,12,52495,50213,2017-12-04 07:39:17,9cac 5756 f424 a9fb 6466 3577 fcc9 bb7b k887 6364 d9ff dccc,
57019,11,13547,21302,2017-12-04 07:39:17,a9cc 6765 2f44 faaf 6441 5777 ceed b166 6878 8437 faga dcdc,
57020,18,46126,25041,2017-12-04 07:39:17,9ad9 685k 72fa aagg 4464 7775 9eed 117b 8778 8437 ga9f cbcc,
57021,4,30281,19001,2017-12-04 07:39:17,9cad 68jj fa7a fbgb 6444 855k bbde 6614 55k8 6746 ffda abfc,
57022,13,50312,49485,2017-12-04 07:39:17,ddmd 865j a2f2 g9ba 4661 5787 bb7f 74b2 587k 4363 fdm9 eedo,
57023,6,39565,42999,2017-12-04 07:39:17,dcca 5k7k 4fa2 fgga 6111 5755 ce9c 744b 7868 8336 af9g aefe,
57024,4,31759,31613,2017-12-04 07:39:17,adaa 5556 ffa2 9gff 6116 8555 c9ce 62b2 7787 6466 ddaa fdcc,
57025,18,32939,32107,2017-12-04 07:39:17,99cd k87k 4a77 bmf9 4416 7577 9cco 1767 5665 6347 9agm acco,
57026,7,52964,33763,2017-12-04 07:39:17,acac 675j ff7f 9bbg 6661 5557 77d9 2b4b 678k 67i2 ffdg cecd,
57027,14,45338,3989,2017-12-04 07:40:07,ccac 5665 a474 bafp 6466 5755 fcc7 4274 7788 7343 afma efff,
57028,6,52664,44366,2017-12-04 07:40:49,c9cc 5667 a4a7 afgb 6616 7857 bd7b 7b27 7886 7766 dggg efaf,
