id,gen,matron_id,sire_id,birthdate,genes,name
256000,10,215183,223808,2017-12-12 00:14:26,mada 7686 777f af1a 1111 8383 afee 7b66 8747 6733 g99f eeef,
256001,5,98446,224461,2017-12-12 00:14:26,aaad 8858 af27 abga 14d1 7885 79fd 2675 5878 6622 fdad fddc,
256002,5,241543,214900,2017-12-12 00:14:26,dadd 6756 f244 14bg 1661 7378 adee b265 7788 4232 99dp eefa,
256003,11,225176,85575,2017-12-12 00:14:26,dcaa 588k aa47 g9am 4614 k777 7fed 1141 5685 6686 g9gf eecc,
256004,8,186820,175110,2017-12-12 00:14:26,ad9a 676j aa74 bfap 4616 8553 ddc7 b616 7785 6286 fpaa defa,
256005,4,203137,255414,2017-12-12 00:14:26,9c9c 6768 4a2a baag d16d 7755 bdcf 521b 6778 4623 g9df adaa,
256006,3,210580,165767,2017-12-12 00:14:31,9a9a 5767 774f 9gg9 6461 8785 a7ac 12b2 7886 8424 ggaa fafe,
256007,6,173408,253380,2017-12-12 00:14:31,accc 6786 272a bfba 6646 8755 9e9f b6h7 6868 8446 ffam doae,
256008,5,248575,254603,2017-12-12 00:14:31,dac9 7585 affa 94g4 6ddd 8377 77ce 411j 4744 2824 gafm daff,
256009,5,183906,188895,2017-12-12 00:14:31,cd9a 6876 fa22 a9ag 16d4 7537 d9bo 2627 8448 8888 adda addf,
256010,11,153227,174285,2017-12-12 00:14:31,a9da 577k 2f42 fggf 1111 877k ed9f 21b6 6685 2622 ggam fcce,
256011,10,235205,240493,2017-12-12 00:14:31,caa9 6756 77a2 11m4 6dd1 8775 ffaa b724 7446 8222 acfd ddaa,
256012,15,253080,249389,2017-12-12 00:14:31,9a9c 8665 22a4 a9b4 6611 355k ddfc b7bb 7886 3738 dgam fddc,
256013,3,100660,230220,2017-12-12 00:14:31,addd 8586 a224 ga4b 41d4 5775 ccaf 174h 758k 2862 dgaa bcef,
256014,10,246815,254506,2017-12-12 00:14:41,acaa 8558 2244 f1ff 4661 585k 9f9d 1462 867j 86i6 gfgc dcdc,
256015,4,190236,214073,2017-12-12 00:14:41,9aac 7765 f474 aggp 1416 5755 bdcb 2226 78k7 4668 fdfd defd,
256016,4,255303,213406,2017-12-12 00:14:41,99mm 6676 ff72 babb 6661 8575 9bfe 16bb k775 4838 gffg faco,
256017,9,228144,159732,2017-12-12 00:14:41,cdmm 8567 f447 fapf 4611 3778 9fdc 226b 6778 2388 99ag adae,
256018,2,186083,130118,2017-12-12 00:14:41,dacd 7556 aaa2 bbfg 6141 8787 cf9e 6222 4878 6326 9ggg cdde,
256019,22,250428,182747,2017-12-12 00:14:57,a9ac 7666 27fa pbbm 4141 5757 977e 2247 6878 6772 gffp efdd,
256020,10,178422,228016,2017-12-12 00:14:57,dd9a 87k5 f42f fpf9 6446 7787 79bf 7167 787k 4632 9faa eeee,
256021,12,255514,252462,2017-12-12 00:14:57,ddac 6856 2f4a gbga 1661 8857 7ddf b761 7788 7326 adga cdfe,
256022,8,237435,239393,2017-12-12 00:14:57,c9c9 8j67 4772 ab14 1d61 7k87 ce77 2b4j 7484 2828 dgac ddcd,
256023,17,244717,110484,2017-12-12 00:14:57,ddam 8886 2a47 afba 6164 8577 9bfd 4144 7488 8648 9ggg feoa,
256024,6,224899,218095,2017-12-12 00:14:57,ca9d 5658 2722 ffp9 6461 58k7 cbb7 2622 8777 8688 gaff faeo,
256025,11,163803,185206,2017-12-12 00:14:57,a99d 5678 f4aa gbb1 1464 5375 dceo 1776 7676 8476 9daa bace,
256026,3,222753,189365,2017-12-12 00:15:09,cccc 6755 f7a7 baf1 4666 7775 bc97 6652 4776 4834 fgad dece,
256027,19,224532,230826,2017-12-12 00:15:09,c9ca 6657 fff7 99fg 1646 8777 fcfc 7b77 87kk 4437 aafp fcoc,
256028,3,227093,151932,2017-12-12 00:15:09,cdca 5786 22f4 g44a 14d6 5377 aacf 5256 7644 3244 aaaf faba,
256029,7,233955,146058,2017-12-12 00:15:09,a999 855r 4a24 agg9 1614 5577 7ee9 7476 7678 3368 aaad faeo,
256030,10,239245,237086,2017-12-12 00:15:09,c9ma 5585 2aa2 1ba1 4464 5758 c99m b6b1 8677 2428 9gfa aace,
256031,7,240415,255163,2017-12-12 00:15:09,acc9 8756 af77 bfgb 6166 7787 fc9f 66h4 6688 4828 99ga ddeb,
256032,14,247318,131423,2017-12-12 00:15:09,mc99 6856 aa7a 1agf 1614 7557 7e79 6772 4767 7788 agff bfdc,
256033,15,235594,245754,2017-12-12 00:16:14,9d9m 8575 f4f7 gffg 6461 7557 f9cm 7645 875k 7882 ggdf dfcb,
256034,5,234692,243493,2017-12-12 00:16:14,9dca 6885 22a2 f14b 6614 3558 cfaf 6745 8788 7283 ggdf ccce,
256035,6,226410,234061,2017-12-12 00:16:14,9cca 5586 7424 4444 1411 5577 9797 5556 7687 6284 ggap aafa,
256036,10,212920,181375,2017-12-12 00:16:14,cddc 7888 f27a gggg 6144 8873 fd7f 6127 4674 4648 999a effe,
256037,5,251070,255623,2017-12-12 00:16:14,9ada 7756 4a4f 1gfa 4d46 5777 edc7 44j5 4844 3862 fapd aaad,
256038,11,54106,45147,2017-12-12 00:16:14,ccdc 755k 4ff4 bbbb 1666 7788 9c7f 767h 756k 3366 aap9 eaff,
256039,22,92779,50904,2017-12-12 00:16:14,9c9a 6675 427f ggag 6666 5585 9f79 1117 8887 8384 p9am ceco,
256040,3,206182,83955,2017-12-12 00:16:14,c9da 6566 a24f b1fb 6611 7555 ae7b b241 886k 3826 gaaa ffcf,
256041,4,254534,215421,2017-12-12 00:16:14,dcam 6558 2422 9abb 1644 7757 bbbd 7762 4678 2227 dagp dddf,
256042,12,51277,70008,2017-12-12 00:16:14,aamm 8687 4a22 aafp 6114 7775 fde9 7772 776k 6687 g9fg effe,
256043,7,207643,177625,2017-12-12 00:16:14,cddc 8758 f47a agg9 6111 775k f97e b755 6888 22ik dggg ceed,
256044,8,255343,255338,2017-12-12 00:16:24,addd 5756 f744 baab 4411 8k58 997b 564h 8668 8264 aacg ddfb,
256045,9,255473,255314,2017-12-12 00:16:24,9aac 5788 ff47 f911 4111 3557 cee9 h6b7 7778 2626 fa9g cfae,
256046,4,254096,255217,2017-12-12 00:16:24,cc9m 7586 faf4 gaf1 6644 7858 eebc b674 8845 6687 9faf cadd,
256047,9,153295,174860,2017-12-12 00:16:29,9dmc 67j5 242f bgfg 1446 5585 bd97 242b 66k5 37k3 faga ecce,
256048,7,31120,10526,2017-12-12 00:16:29,aaam 8586 777f ggaa 1661 7577 f79e 17b4 8686 7434 ga9a cdfc,
256049,6,35218,99000,2017-12-12 00:16:29,a9ad 866j a442 ggff 4641 7555 de7b 1461 6777 6666 fgga cafe,
256050,18,150692,243485,2017-12-12 00:16:29,cacm 5687 4247 aggg 4616 7588 c79d 77b1 7767 7466 dagf ddao,
256051,15,189698,220013,2017-12-12 00:16:29,99ca 7558 aa77 bg1a 6614 7858 bfaf 46h1 8777 4884 9pa9 ccdc,
256052,13,112767,238873,2017-12-12 00:16:29,dcmd 6655 fa72 f9fg 4146 7757 ddfd 4444 8878 6368 gagf fefa,
