id,gen,matron_id,sire_id,birthdate,genes,name
332000,9,277104,257227,2017-12-16 00:38:47,9cmc 8567 72f4 9b4b 144d 7833 f7de b6jj 7487 6237 da9g fcad,
332001,4,309833,164959,2017-12-16 00:38:47,acc9 77k6 f247 fgaa 4d48 5385 dafe b56b 8486 7422 9aaf dfac,
332002,4,48531,167876,2017-12-16 00:38:47,caac 7586 a72f bgbg 6116 3538 abb7 4762 5668 3224 fa9a ffdf,
332003,8,266994,280299,2017-12-16 00:38:47,a9cd 7kk6 4fa7 f1a4 4dd4 8537 7ded 726j 7866 7848 9aaf dfcd,
332004,4,288141,268298,2017-12-16 00:38:57,dacc 5886 4afa bbba 6461 5587 aacm 74b5 6487 8667 agpa fcdd,
332005,4,275853,330983,2017-12-16 00:38:57,a99d 7857 42f4 4b44 1ddd 8775 f77e 51jj 8646 8444 fapg ecca,
332006,11,331126,320722,2017-12-16 00:38:57,caaa 557j 442f ff44 1441 8875 79cd 52jj 6478 8446 aagp aaee,
332007,4,268909,103307,2017-12-16 00:39:17,d9dd 8766 f7af 4faa 11d6 8555 a7cc 156b 5446 6338 g9fa deag,
332008,13,256806,174415,2017-12-16 00:39:17,aadd 5775 7a22 bfag 4616 8577 dfee 7bb6 7668 828i cadp bead,
332009,13,318708,223790,2017-12-16 00:39:17,a9mc 6768 2274 afap d661 8555 cee9 b61b 6848 4286 9fff dcdd,
332010,7,300368,314127,2017-12-16 00:39:17,caac 8765 f2a2 fg4b d161 7375 cb9c 515b 5786 484i g9dd eeaa,
332011,4,288719,203580,2017-12-16 00:39:51,caaa 7777 7727 afaa 661d 5755 ceff 5715 6486 2622 g9gd afdp,
332012,7,325114,322865,2017-12-16 00:39:51,c99a 6685 27a2 b414 664d 775k 9a9c 6445 k647 2688 caf9 aacf,
332013,6,330640,179454,2017-12-16 00:39:51,cadd 75k5 422a bbbg 4644 7575 e77b 766h 788k 8748 ffcd eedn,
332014,3,331923,331409,2017-12-16 00:39:51,c9d9 887k 7224 1b49 dd88 1221 dff7 b415 4787 7336 dbaf eeeg,
332015,2,329342,284458,2017-12-16 00:39:51,acc9 5858 22aa a4gb 416d 7732 eb9c 5124 5476 7722 fggb fddg,
332016,6,329698,326797,2017-12-16 00:39:51,99ad 7765 4247 1999 4644 7577 d7f7 b61b 5488 8326 fggf affd,
332017,4,319833,274821,2017-12-16 00:39:57,acmc 7565 faaf 41a4 4861 8557 ffee 57b6 7464 6373 a9gp fdfe,
332018,8,330894,301237,2017-12-16 00:39:57,aaac 6855 7244 41m4 16dd 8755 bb7c 27bj 6477 8628 dggm daad,
332019,5,318584,247500,2017-12-16 00:39:57,addd 7685 724f fbgf 46d1 7577 d7b7 62b1 4868 2483 faa9 daaa,
332020,5,331151,249778,2017-12-16 00:39:57,c9dc 5887 7227 19ff 8411 5585 fd9e 1615 6747 22k4 faab gffc,
332021,14,331501,285470,2017-12-16 00:39:57,ccac 766j 2f4f 1bbg 4441 7775 adb9 1bbh 8656 8246 dada cdoe,
332022,3,331006,291139,2017-12-16 00:39:57,aad9 5757 4442 g444 dddd 5877 f9dn b555 4848 7784 fafg bcaa,
332023,11,324763,328858,2017-12-16 00:40:04,cdca 655j 24f4 b9ab 464d 7785 9bda bb54 4847 4434 fag9 agtt,
